Project Name,項目名稱,项目名称,Grantee,獲資助者,获资助者,Project Type,項目類型,项目类型,Innovative Programme,創新計劃,创新计划,Stage of Innovation Development,階段,阶段,Project Nature,項目性質,项目性质,Major Beneficiaries,主要受惠者,主要受惠者,Brief Description,簡介,简介,Impact / Expected Impact,效益/預期效益,效益/预期效益,Approved Funding Amount (HK$),獲批資助額 （港幣）,获批资助额 （港币）,Funding Period (months),資助期(月),资助期(月),Status,狀況,状况,Project Website,項目網頁,项目网页
Gerontechnology Platform,樂齡科技平台,乐龄科技平台,The Hong Kong Council of Social Service,香港社會服務聯會,香港社会服务联会,Capacity Building Project,能力提升,能力提升,N/A,不適用,不适用,N/A,不適用,不适用,Healthcare,醫,医,Elderly,長者,长者,"The project aims to link up different stakeholders on the supply and demand sides and enhance synergy by way of engagement, cross-sector partnership and collaboration. The Gerontechnology Platform will comprise four basic functionalities, namely (1) a knowledge hub; (2) network and capacity building; (3) consultancy, localisation and testing support; and (4) impact assessment, with a view to enhancing the quality of life, independence and self-reliance of the elderly as well as providing support to their families, caregivers, healthcare staff and institutions. ",項目旨在通過推動參與、建立跨界別伙伴關係及促進合作，連結供求兩方面的不同持份者，增強協同效應。樂齡科技平台將涵蓋（一）知識庫、（二）網絡建設和能力提升、（三）顧問服務、樂齡科技產品本地化和測試支援，以及（四）效益評估等四項基本功能。平台希望提升長者生活質素及獨立生活和自理能力，為他們的家庭、照顧者、護理員和護理機構提供支援。,项目旨在通过推动参与、建立跨界别伙伴关系及促进合作，连结供求两方面的不同持份者，增强协同效应。乐龄科技平台将涵盖（一）知识库、（二）网络建设和能力提升、（三）顾问服务、乐龄科技产品本地化和测试支援，以及（四）效益评估等四项基本功能。平台希望提升长者生活质素及独立生活和自理能力，为他们的家庭、照顾者、护理员和护理机构提供支援。,"The project aims to link up different stakeholders on the supply and demand sides and enhance synergy by way of engagement, cross-sector partnership and collaboration. The Gerontechnology Platform will comprise four basic functionalities, namely (1) a knowledge hub; (2) network and capacity building; (3) consultancy, localisation and testing support; and (4) impact assessment, with a view to enhancing the quality of life, independence and self-reliance of the elderly as well as providing support to their families, caregivers, healthcare staff and institutions. ",項目旨在通過推動參與、建立跨界別伙伴關係及促進合作，連結供求兩方面的不同持份者，增強協同效應。樂齡科技平台將涵蓋（一）知識庫、（二）網絡建設和能力提升、（三）顧問服務、樂齡科技產品本地化和測試支援，以及（四）效益評估等四項基本功能。平台希望提升長者生活質素及獨立生活和自理能力，為他們的家庭、照顧者、護理員和護理機構提供支援。,项目旨在通过推动参与、建立跨界别伙伴关系及促进合作，连结供求两方面的不同持份者，增强协同效应。乐龄科技平台将涵盖（一）知识库、（二）网络建设和能力提升、（三）顾问服务、乐龄科技产品本地化和测试支援，以及（四）效益评估等四项基本功能。平台希望提升长者生活质素及独立生活和自理能力，为他们的家庭、照顾者、护理员和护理机构提供支援。,48524374,48524374,48524374,36.0,36.0,36.0,Active,推展中,推展中,,,
Start from the Beginning - Chinese Supporting Scheme for Non-Chinese Speaking Students in Kindergarten (2020 – 2023) –A Pay-for-Success Scale Up Project,從起步開始 --- 幼稚園非華語學生學習中文支援計劃按效益付費計劃 (2020-2023),从起步开始 --- 幼稚园非华语学生学习中文支援计划按效益付费计划 (2020-2023),Oxfam Hong Kong,香港樂施會,香港乐施会,Innovative Project/Venture,創新計劃,创新计划,N/A,不適用,不适用,Scale-up,擴大規模,扩大规模,Education and learning,教育與學習,教育与学习,People of diverse race,不同種族人士,不同种族人士,"The project aims to helping Non-Chinese Speaking (NCS) kindergarten students improve their Chinese proficiency and learning motivation, enhancing kindergarten teachers’ capability of teaching NCS students Chinese, and thereby relieving the poverty and social exclusion issues of NCS students in the long run.  ",項目旨在協助非華語幼稚園學生提高中文水平和學習動機，以及提升幼稚園老師教導非華語學生學習中文的能力，從而為紓緩非華語學生的貧窮和社會孤立問題發揮長遠的作用。,项目旨在协助非华语幼稚园学生提高中文水平和学习动机，以及提升幼稚园老师教导非华语学生学习中文的能力，从而为纾缓非华语学生的贫穷和社会孤立问题发挥长远的作用。,"The project aims to helping Non-Chinese Speaking (NCS) kindergarten students improve their Chinese proficiency and learning motivation, enhancing kindergarten teachers’ capability of teaching NCS students Chinese, and thereby relieving the poverty and social exclusion issues of NCS students in the long run.  ",項目旨在協助非華語幼稚園學生提高中文水平和學習動機，以及提升幼稚園老師教導非華語學生學習中文的能力，從而為紓緩非華語學生的貧窮和社會孤立問題發揮長遠的作用。,项目旨在协助非华语幼稚园学生提高中文水平和学习动机，以及提升幼稚园老师教导非华语学生学习中文的能力，从而为纾缓非华语学生的贫穷和社会孤立问题发挥长远的作用。,30680000,30680000,30680000,36.0,36.0,36.0,Active,推展中,推展中,,,
FOOD-CO 2.0,FOOD-CO 2.0,FOOD-CO 2.0,St. James' Settlement,聖雅各福群會,圣雅各福群会,Capacity Building Project,能力提升,能力提升,N/A,不適用,不适用,N/A,不適用,不适用,Food,食,食,Low-income families,低收入家庭,低收入家庭,"With additional funding from the SIE Fund, SJS launched the second phase of the project ""FOOD-CO 2.0"" to further enhance the efficiency and effectiveness of the food support service sector, as well as step up advocacy for donation of food surplus. In Mar 2020, an additional funding has been approved under the SIE Fund for SJS to provide short-term assistance through the FOOD-CO platform to underprivileged population who were adversely affected by COVID-19. ",聖雅各福群會再獲社創基金撥款推出第二階段計劃「FOOD-CO 2.0」，以進一步提升本港食物援助界別的效率和效益，並加強推動食物捐贈。2020年3月，聖雅各福群會獲社創基金額外撥款推出短期食物援助項目，以幫助受新型冠狀病毒疫情影響的弱勢人士。,圣雅各福群会再获社创基金拨款推出第二阶段计划「FOOD-CO 2.0」，以进一步提升本港食物援助界别的效率和效益，并加强推动食物捐赠。2020年3月，圣雅各福群会获社创基金额外拨款推出短期食物援助项目，以帮助受新型冠状病毒疫情影响的弱势人士。,"(i) increase in daily number of meals to the beneficiaries(ii) increase in daily number of beneficiaries(iii) increase in number of donors via FOOD-CO(iv) increase in food surplus donation via FOOD-CO(v) enhanced volunteering service for food support service delivery(vi) enhanced brand/marketing reach of FOOD-CO and ""Save & Share"" message",(i) 增加每日提供的餐數(ii) 增加每日食物援助服務受惠者數目(iii) 增加FOOD-CO捐贈者數目(iv) 增加剩食捐贈量(v) 加強支援食物援助服務的義工服務(vi) 加強FOOD-CO和「惜食共享」的品牌/市場推廣,(i) 增加每日提供的餐数(ii) 增加每日食物援助服务受惠者数目(iii) 增加FOOD-CO捐赠者数目(iv) 增加剩食捐赠量(v) 加强支援食物援助服务的义工服务(vi) 加强FOOD-CO和「惜食共享」的品牌/市场推广,22825000,22825000,22825000,36.0,36.0,36.0,Active,推展中,推展中,https://food-co.hk,https://food-co.hk,https://food-co.hk
Second Evaluation Study of the SIE Fund,第二期社創基金評估研究,第二期社创基金评估研究,The University of Hong Kong,香港大學,香港大学,Research,研究,研究,N/A,不適用,不适用,N/A,不適用,不适用,Others,其他,其他,Others,其他,其他,"The Study examines the performance of the initiatives of the Fund in achieving its objectives. Following on from the research period covered by the First Evaluation Study, the Second Evaluation Study further examines the overall performance of the Fund, the impact of intermediaries as well as projects and initiatives funded or supported by the Fund on a longitudinal basis during the period from July 2020 to December 2023. The Study will also come up with recommendations of improvements at all levels.",這項研究旨在評估基金各項工作在實踐基金目標方面的表現。「第二期評估研究」將接續第一期評估研究涵蓋的研究期，進一步以追蹤形式審視基金於2020年7月至2023年12月期間的整體工作表現，以及協創機構和由基金資助或支持的項目締造的效益。「第二期評估研究」亦會從不同層面提出改善建議。,这项研究旨在评估基金各项工作在实践基金目标方面的表现。「第二期评估研究」将接续第一期评估研究涵盖的研究期，进一步以追踪形式审视基金于2020年7月至2023年12月期间的整体工作表现，以及协创机构和由基金资助或支持的项目缔造的效益。「第二期评估研究」亦会从不同层面提出改善建议。,To evaluate the performance of the initiatives of the Fund in achieving its objectives. The Study will also come up with recommendations of improvements at all levels.,評估社創基金在各項工作在實踐基金目標方面的表現。「第二期評估研究」亦會從不同層面提出改善建議。,评估社创基金在各项工作在实践基金目标方面的表现。「第二期评估研究」亦会从不同层面提出改善建议。,11411696,11411696,11411696,39.0,39.0,39.0,Active,推展中,推展中,,,
FOOD-CO,FOOD-CO,FOOD-CO,St. James' Settlement,聖雅各福群會,圣雅各福群会,Capacity Building Project,能力提升,能力提升,N/A,不適用,不适用,N/A,不適用,不适用,Food,食,食,Low-income families,低收入家庭,低收入家庭,"The Project aims to enhance the efficiency and effectiveness of the overall food support service in Hong Kong. St. James' Settlement launched the FOOD-CO platform in May 2017 for different stakeholders of the sector, including food donors and food support service operators, to coordinate information sharing on the demand and supply of food items and related services.",項目目標是提升本港整體食物援助界別的效率及效益。聖雅各福群會在2017年5月推出FOOD-CO平台，讓各持分者包括食物捐贈者及食物援助服務機構分享有關食物供求情況及相關服務等資訊。,项目目标是提升本港整体食物援助界别的效率及效益。圣雅各福群会在2017年5月推出FOOD-CO平台，让各持分者包括食物捐赠者及食物援助服务机构分享有关食物供求情况及相关服务等资讯。,(i) a 83% increase in daily number of meals served (target: +50%)(iii) a 78% increase in daily number of beneficiaries (target: +30%)(iv) a 66% increase in food surplus donation (target: +25%)(v) 191 more food support service points (target: +100),(i) 增加每日供應總餐數83% (目標：+50%)(ii) 增加每日受惠人數78% (目標：+30%)(iii) 增加食物捐贈量66% (目標：+25%)(iv) 增加食物援助點191個（目標：+100個）,(i) 增加每日供应总餐数83% (目标：+50%)(ii) 增加每日受惠人数78% (目标：+30%)(iii) 增加食物捐赠量66% (目标：+25%)(iv) 增加食物援助点191个（目标：+100个）,10572676,10572676,10572676,36.0,36.0,36.0,Completed,已完成,已完成,https://food-co.hk,https://food-co.hk,https://food-co.hk
SIE Fund Evaluation Study,社創基金評估研究,社创基金评估研究,The University of Hong Kong,香港大學,香港大学,Research,研究,研究,N/A,不適用,不适用,N/A,不適用,不适用,Others,其他,其他,Others,其他,其他,The Study examines overall performance of the SIE Fund and provides recommendations for the Fund to further strengthen its impact.,這項研究將全面檢討基金整體工作成效並就基金如何進一步加強效益提出建議。,这项研究将全面检讨基金整体工作成效并就基金如何进一步加强效益提出建议。,To evaluate the effectiveness of the initiatives of the SIE Fund in achieving its objectives,評估社創基金在達致其目標方面的舉措所帶來的效益,评估社创基金在达致其目标方面的举措所带来的效益,5971901,5971901,5971901,58.0,58.0,58.0,Active,推展中,推展中,https://csrp.hku.hk/project/sie-fund/,https://csrp.hku.hk/project/sie-fund/,https://csrp.hku.hk/project/sie-fund/
Community Housing Movement,社會房屋共享計劃,社会房屋共享计划,The Hong Kong Council of Social Service,香港社會服務聯會,香港社会服务联会,Capacity Building Project,能力提升,能力提升,N/A,不適用,不适用,N/A,不適用,不适用,Living,住,住,Low-income families,低收入家庭,低收入家庭,"The Hong Kong Council of Social Service (HKCSS) launched the ""Community Housing Movement"" in September 2017. As the intermediary of the Movement, HKCSS establishes and operates a collaboration platform to bring in the joint efforts of landlords, social welfare agencies, professional bodies and different sectors of the community to provide affordable and decent transitional social housing to the grassroots without public housing support. The SIE Fund and the Community Chest have jointly provided HKCSS with a grant for funding the set-up of the platform and operational expenses of the intermediary during the three-year operation of the project.",香港社會服務聯會（社聯）於2017年9月推出「社會房屋共享計劃」。社聯擔當項目的中介角色，成立及營運一個合作平台凝聚業主、社福機構、專業人士和社會各界的力量，為有過渡性住屋需要，而暫未獲公營房屋支援的低收入家庭，提供可負擔和適切的過渡性住所。社創基金聯同香港公益金向社聯提供撥款資助有關平台的建立，以及社聯作為中介機構營運該項目三年所需的費用。,香港社会服务联会（社联）于2017年9月推出「社会房屋共享计划」。社联担当项目的中介角色，成立及营运一个合作平台凝聚业主、社福机构、专业人士和社会各界的力量，为有过渡性住屋需要，而暂未获公营房屋支援的低收入家庭，提供可负担和适切的过渡性住所。社创基金联同香港公益金向社联提供拨款资助有关平台的建立，以及社联作为中介机构营运该项目三年所需的费用。,To provide 500 units and benefit 1 000 grassroots households,預期項目可提供500個單位予1 000個低收入家庭,预期项目可提供500个单位予1 000个低收入家庭,5763941,5763941,5763941,36.0,36.0,36.0,Active,推展中,推展中,https://communityhousing.hkcss.org.hk/zh-hant,https://communityhousing.hkcss.org.hk/zh-hant,https://communityhousing.hkcss.org.hk/zh-hant
Impact Intermediaries Capacity Building Hong Kong,Impact Intermediaries Capacity Building Hong Kong,Impact Intermediaries Capacity Building Hong Kong,Hong Kong Impact Data Consortium Limited ,香港社會影響力數據聯盟有限公司,香港社会影响力数据联盟有限公司,Capacity Building Project,能力提升,能力提升,N/A,不適用,不适用,N/A,不適用,不适用,Others,其他,其他,Others,其他,其他,"This project aims to empower impact intermediaries and social purpose organisations (SPOs) with the ability to conduct their impact management work in a more efficient, effective and customised way through co-creating their own impact data management system. Through train-the-trainers approach, participating intermediaries will be equipped with required expertise and knowledge on impact management to disseminate them to subsidiary SPOs.",項目透過為協創機構和社會創新項目度身訂做社會效益管理系統，協助它們更有效地管理社會效益。 另外，計劃亦會透過 “train the trainers” 方法，向參與的協創機構教授社會效益管理的知識，再由協創機構傳授予旗下的社會創新項目。,项目透过为协创机构和社会创新项目度身订做社会效益管理系统，协助它们更有效地管理社会效益。 另外，计划亦会透过 “train the trainers” 方法，向参与的协创机构教授社会效益管理的知识，再由协创机构传授予旗下的社会创新项目。,"This project aims to empower impact intermediaries and social purpose organisations (SPOs) with the ability to conduct their impact management work in a more efficient, effective and customised way through co-creating their own impact data management system. Through train-the-trainers approach, participating intermediaries will be equipped with required expertise and knowledge on impact management to disseminate them to subsidiary SPOs.",項目透過為協創機構和社會創新項目度身訂做社會效益管理系統，協助它們更有效地管理社會效益。 另外，計劃亦會透過 “train the trainers” 方法，向參與的協創機構教授社會效益管理的知識，再由協創機構傳授予旗下的社會創新項目。,项目透过为协创机构和社会创新项目度身订做社会效益管理系统，协助它们更有效地管理社会效益。 另外，计划亦会透过 “train the trainers” 方法，向参与的协创机构教授社会效益管理的知识，再由协创机构传授予旗下的社会创新项目。,4028425,4028425,4028425,24.0,24.0,24.0,Active,推展中,推展中,https://www.idcc.hk/,https://www.idcc.hk/,https://www.idcc.hk/
Social Entrepreneurship School Education Programme,社創校園通通識,社创校园通通识,Fullness Social Enterprises Society Limited ,豐盛社企學會,丰盛社企学会,Capacity Building Project,能力提升,能力提升,N/A,不適用,不适用,N/A,不適用,不适用,Education and learning,教育與學習,教育与学习,Others,其他,其他,"Having been funded by the SIE Fund since September 2015, the Programme is jointly run by the Fullness Social Enterprises Society Limited and the Department of Cultural and Religious Studies of the Chinese University of Hong Kong. It aims to enrich the understanding of secondary school teachers and students on social innovation and entrepreneurship as sustainable solutions to social problems.",由豐盛社企學會及香港中文大學文化及宗教研究系合辦的「社創校園通通識」計劃自2015年9月起獲社創基金資助，該計劃讓中學師生深入認識社會創新及創業精神，並探討兩者如何為社會問題提供可持續的解決方案。,由丰盛社企学会及香港中文大学文化及宗教研究系合办的「社创校园通通识」计划自2015年9月起获社创基金资助，该计划让中学师生深入认识社会创新及创业精神，并探讨两者如何为社会问题提供可持续的解决方案。,"Leveraging on the connections between the political, business and educational sectors, the programme aims to tailor-made the social innovative education for secondary and primary students, so as to allow them to learn social entrepreneurship, care others and change the society. ",計劃目的結合本地政、商、學界的網絡，為香港中小學創設一套合用的「社創教育」範式， 讓學生學習社會創業的精神，關懷他人及以創意轉化社會，為香港的未來共同努力。,计划目的结合本地政、商、学界的网络，为香港中小学创设一套合用的「社创教育」范式， 让学生学习社会创业的精神，关怀他人及以创意转化社会，为香港的未来共同努力。,4000000,4000000,4000000,28.0,28.0,28.0,Completed,已完成,已完成,https://www.sense-program.hk/,https://www.sense-program.hk/,https://www.sense-program.hk/
Co-cooking HK,共廚工房,共厨工房,Community Development Enhancement Fund Limited,社區發展推動基金有限公司,社区发展推动基金有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Food,食,食,Low-income families,低收入家庭,低收入家庭,Enhancing the capability of grassroots women and NGOs in food production through providing a co-cooking space and related support ,提供共同煮食空間及相關支援，藉此提升基層婦女及社福機構製造食品的能力,提供共同煮食空间及相关支援，借此提升基层妇女及社福机构制造食品的能力,"‧To recruit 100 grassroots women and provide them with 440 training sessions and to train 7 of them to be ""star chefs""‧To rent the co-cooking workspace to 8 NGOs and build up their capacity in food production",‧招募100名基層婦女，為她們提供440節培訓，並培育其中七位成為星級家廚‧租借共同煮食空間予八間社福機構及提升他們製作食品的能力,‧招募100名基层妇女，为她们提供440节培训，并培育其中七位成为星级家厨‧租借共同煮食空间予八间社福机构及提升他们制作食品的能力,3594679,3594679,3594679,36.00,36.00,36.00,Active,推展中,推展中,www.facebook.com/sharingkitchen,www.facebook.com/sharingkitchen,www.facebook.com/sharingkitchen
