,日期,标题,阅读量,链接
0,06.04(周五),速收藏! 60秒看完报读攻略,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903745&idx=1&sn=f3b2e0a42b831ab72678b83c8b53e318&chksm=8f5cc234b82b4b22243e93235baf407f5533d5bc4b1f1c53ef23bb531c22abce7232f2f9f00d#rd
1,06.03(周四),理大「旅游休闲管理」 连续五年荣登软科学科排名榜首！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903495&idx=1&sn=7c6252fb0b1e31b30cfe4259360e1b58&chksm=8f5cc132b82b482476c29dcb6ef172b4e2a81d21f6263355482f8473a1837973e476fcab7d91#rd
2,06.03(周四),酒店及旅游业管理学院本科课程 国际化 很棒的实习,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903495&idx=2&sn=4ae97cccdeddf67fd9e55c6d149b9296&chksm=8f5cc132b82b4824d0ee8c97040bb1515b5d84bfff31055e2ffef08830e3ca0d05897f971fdd#rd
3,06.02(周三),以ASMR的方式解锁理大校园的一天...,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903463&idx=1&sn=755e06dec456447d9564323ef5ef0cad&chksm=8f5cc1d2b82b48c479618e35a4420418276e7b748a8901e76d431dc72070f7ad04043c797eb1#rd
4,06.01(周二),理大这4个学科，全球前10！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903458&idx=1&sn=9db5a566d59773ae05c9dde522c6b423&chksm=8f5cc1d7b82b48c1eb2aa5cb076ca1bdd82632f305d629867ef748134b8ed9c47f411c60b68e#rd
5,06.01(周二),理大又双叒摘星啦！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903458&idx=2&sn=355918705c3cf8af16cc302e028d0244&chksm=8f5cc1d7b82b48c1f000e55059f7c3c64b9e728873a1ed78c440724e3eda8966cdaaeba05d9a#rd
6,05.31(周一),压轴! 6月12日 最后一场理大本科招生说明会,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903349&idx=1&sn=6ba85ab120d982184c5281a47c7a4004&chksm=8f5cc040b82b495693e2e92b5a3e0a4361f5ced633d84fa5a7e2c1869b716afb7772e77cc81c#rd
7,05.28(周五),直播通道来了! 明早10时! 学姐校友分享实习和交流经验,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903319&idx=1&sn=0aca37aaf7c56dddaf3953890531daae&chksm=8f5cc062b82b4974a7dbaecfbc21fb132fee4eba1d03d704d2ad2964816c6353d9d486b4fba0#rd
8,05.27(周四),足本重温!「理大云讲堂」星级教授 八个精彩课堂 招生计划重点,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903191&idx=1&sn=8f70c6eec4a0c2a0b42843f986b896ee&chksm=8f5cc0e2b82b49f4454167633322cb9f49ee60514f9ac98362ffac32424c2d82343b5d905eae#rd
9,05.26(周三),"高考倒计时12天, 来接福！祝你高考成功!",-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903155&idx=1&sn=5685072327c6c0c92961c4d5bd246324&chksm=8f5cc086b82b4990407e53b27dba3d8f7cc2b01f4ac922c2a12afbceaac204690dc272be3160#rd
10,05.25(周二),学长分享! 如何应对大学考试？带大家游走理大图书馆的温习空间,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903146&idx=1&sn=10080302aa0279a940674a3de0471a36&chksm=8f5cc09fb82b4989ecf8376b9c203652990cc7a113a8e15993f84119f89f6adb47f3fdf90f02#rd
11,05.24(周一),5月29日约定你! 跟乘风破浪的学姐校友见面,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903141&idx=1&sn=d83f01adeaa91ddfdd7ef6b1c11f5e7c&chksm=8f5cc090b82b498620bbd24c6860ecff3ee6f51ad7cd2108f33c664d22c8c82a5e11c9208405#rd
12,05.24(周一),理大跨学科专家贡献国家首个火星探测任务,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649903141&idx=2&sn=0e9166086ca8199030eaae40c2b9f536&chksm=8f5cc090b82b4986ebb4b44a81775ade528a75025f37f0b52b56aa4cf237c01279397258c248#rd
13,05.21(周五),直播链接! 最后一场理大云讲堂 酒店及旅游业管理学院副院长授课,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649902604&idx=1&sn=6eb950a5046cc3a021b3cf0fb56ec588&chksm=8f5cdeb9b82b57afbf3df41e2704edc0b415648a497c29daac36e9ed206609d6e445aeac26c1#rd
14,05.20(周四),5.20的告白｜为你呈献198秒动画 看理大！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649902562&idx=1&sn=02783524e543e898b89955d8f8c2bda6&chksm=8f5cdd57b82b54417506a73eb97ede236023f2b5af729ef9803de2a5efb4cb5fa6672f07ced9#rd
15,05.17(周一),理大百人入选全球前2%顶尖科学家榜单！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649902331&idx=1&sn=2f5e6efef5faf3fd3970a70c678d21df&chksm=8f5cdc4eb82b5558a97a2ddd2ddb6e8ecef9fe220eb880dd8451feb6c02d4cdbc24fbf648d57#rd
16,05.17(周一),理大祝贺“天问一号”探测器成功着陆火星,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649902331&idx=2&sn=deffa35426669e309f902b73b75cdc2a&chksm=8f5cdc4eb82b5558b0db97c744d0186b99a624e147fa6d90dc4b0e1f76007fb23bb57407a451#rd
17,05.14(周五),"快来报名! 理大云讲堂最后一课, 你怎可以错过?",-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649902329&idx=1&sn=285c3ed0f8cc2c27cec4529dc3c86a31&chksm=8f5cdc4cb82b555ab5ee86f2cc6c658924cea1dee4aa21e524a16a456babea1a4c7b0e3ec020#rd
18,05.14(周五),直播链接! 理大云讲堂干货满满  探讨未来设计及创新领导力,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901411&idx=1&sn=93e99e3c68bef8018c987c12cff2485e&chksm=8f5cd9d6b82b50c07c6775be12862491554d05eb14600369686b0813f8182032dd99cf2254aa#rd
19,05.14(周五),神经科学中心实验室! 理理与你重游母校 | 第九期,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901411&idx=2&sn=e99354b683a1d2befc60915e247a76e7&chksm=8f5cd9d6b82b50c020291812db4addcbe10c7f1355225ebbc5e8d9bd52883c483f4c251d9b74#rd
20,05.13(周四),申请Q&A-申请要知道的15件事 来参加个人咨询!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901381&idx=1&sn=d9627359b02ba66e3259112b261aa746&chksm=8f5cd9f0b82b50e647cc4febec375c24d3f347aba38dc81bc87d230a53d2382756d9b6872aec#rd
21,05.12(周三),有新意! 来看理大设计学院校友的创作!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649901380&idx=1&sn=18b34f52abc040adee947b4b88daa38a&chksm=8f5cd9f1b82b50e7ab53d14e78fe7f3ba74273740cdb7507faaa0692af312baef6add371c0cb#rd
